Match_id,Date,Season,RoundNumber,Team,Elo,RoundStatus
5347.0,2012-03-31,2012,1,Adelaide,1500.0,Past Round
5356.0,2012-04-07,2012,2,Adelaide,1538.792,Past Round
5368.0,2012-04-15,2012,3,Adelaide,1562.674,Past Round
5373.0,2012-04-21,2012,4,Adelaide,1529.752,Past Round
5387.0,2012-04-29,2012,5,Adelaide,1550.733,Past Round
5392.0,2012-05-05,2012,6,Adelaide,1572.524,Past Round
5399.0,2012-05-12,2012,7,Adelaide,1616.51,Past Round
5413.0,2012-05-20,2012,8,Adelaide,1641.471,Past Round
5419.0,2012-05-26,2012,9,Adelaide,1676.215,Past Round
5427.0,2012-06-02,2012,10,Adelaide,1634.455,Past Round
5440.0,2012-06-15,2012,12,Adelaide,1666.028,Past Round
5450.0,2012-06-24,2012,13,Adelaide,1685.727,Past Round
5453.0,2012-06-30,2012,14,Adelaide,1642.146,Past Round
5464.0,2012-07-07,2012,15,Adelaide,1663.802,Past Round
5475.0,2012-07-15,2012,16,Adelaide,1684.986,Past Round
5480.0,2012-07-21,2012,17,Adelaide,1697.737,Past Round
5488.0,2012-07-28,2012,18,Adelaide,1722.091,Past Round
5504.0,2012-08-05,2012,19,Adelaide,1685.728,Past Round
5507.0,2012-08-11,2012,20,Adelaide,1706.777,Past Round
5518.0,2012-08-18,2012,21,Adelaide,1729.107,Past Round
5531.0,2012-08-26,2012,22,Adelaide,1679.049,Past Round
5533.0,2012-09-01,2012,23,Adelaide,1693.689,Past Round
5542.0,2012-09-08,2012,24,Adelaide,1701.38,Past Round
5545.0,2012-09-14,2012,25,Adelaide,1660.295,Past Round
5548.0,2012-09-22,2012,26,Adelaide,1691.328,Past Round
5550.0,2013-03-22,2013,1,Adelaide,1669.47,Past Round
5562.0,2013-04-06,2013,2,Adelaide,1616.511,Past Round
5576.0,2013-04-14,2013,3,Adelaide,1643.227,Past Round
5584.0,2013-04-21,2013,4,Adelaide,1594.788,Past Round
5590.0,2013-04-27,2013,5,Adelaide,1605.785,Past Round
