Team,Current_Rank,Rank_Movement,Played,Wins,Draws,Losses,Current_Points,Current_Percentage,Games_Remaining,Projected_Rank,Projected_Rank_Median,Rank_Range_Best,Rank_Range_Worst
Fremantle,1,0.0,23,19,0,4,76,137.21,1.0,1,1.0,1,1
Sydney,2,0.0,23,18,0,5,72,136.06,1.0,2,2.0,2,2
Brisbane,3,0.0,23,16,0,7,64,121.67,1.0,3,3.0,3,5
Hawthorn,4,0.0,23,15,2,6,64,120.15,1.0,4,4.0,3,5
Geelong,5,1.0,23,15,0,8,60,122.34,1.0,5,4.0,3,6
Adelaide,6,0.0,23,15,0,8,60,117.31,1.0,6,6.0,5,6
Melbourne,7,0.0,23,15,0,8,60,109.62,0.0,7,7.0,7,7
Western Bulldogs,8,0.0,23,13,1,9,54,95.43,1.0,8,8.0,8,9
Collingwood,9,0.0,23,12,2,9,52,102.38,0.0,9,9.0,9,10
Carlton,10,0.0,23,12,1,10,50,101.47,1.0,10,10.0,8,10
St Kilda,11,0.0,23,10,0,13,40,102.84,0.0,11,11.0,11,11
GWS,12,0.0,23,10,0,13,40,98.95,0.0,12,12.0,12,12
Gold Coast,13,0.0,23,9,0,14,36,94.5,0.0,13,13.0,13,13
North Melbourne,14,0.0,23,9,0,14,36,88.83,0.0,14,14.0,14,14
Port Adelaide,15,0.0,23,7,0,16,28,88.09,0.0,15,15.0,15,15
West Coast,16,0.0,23,4,0,19,16,69.22,0.0,16,16.0,16,16
Richmond,17,0.0,23,3,0,20,12,62.49,0.0,17,17.0,17,17
Essendon,18,0.0,23,2,0,21,8,64.61,0.0,18,18.0,18,18
