Season,RoundNumber,HomeTeam,AwayTeam,CoachesVotes,Player,Team,Player_Cleaned_Name,Date,Match_id
2012,1,GWS,Sydney,10.0,Josh Kennedy,Sydney,J_Kennedy,2012-03-24,5343
2012,1,GWS,Sydney,7.0,Ted Richards,Sydney,T_Richards,2012-03-24,5343
2012,1,GWS,Sydney,6.0,Kieren Jack,Sydney,K_Jack,2012-03-24,5343
2012,1,GWS,Sydney,3.0,Craig Bird,Sydney,C_Bird,2012-03-24,5343
2012,1,GWS,Sydney,2.0,Chad Cornes,GWS,C_Cornes,2012-03-24,5343
2012,1,GWS,Sydney,1.0,Toby Greene,GWS,T_Greene,2012-03-24,5343
2012,1,GWS,Sydney,1.0,Rhys Palmer,GWS,R_Palmer,2012-03-24,5343
2012,1,Richmond,Carlton,9.0,Matthew Kreuzer,Carlton,M_Kreuzer,2012-03-29,5344
2012,1,Richmond,Carlton,6.0,Andrew Carrazzo,Carlton,A_Carrazzo,2012-03-29,5344
2012,1,Richmond,Carlton,5.0,Marc Murphy,Carlton,M_Murphy,2012-03-29,5344
2012,1,Richmond,Carlton,4.0,Trent Cotchin,Richmond,T_Cotchin,2012-03-29,5344
2012,1,Richmond,Carlton,3.0,Bryce Gibbs,Carlton,B_Gibbs,2012-03-29,5344
2012,1,Richmond,Carlton,3.0,Kade Simpson,Carlton,K_Simpson,2012-03-29,5344
2012,1,Hawthorn,Collingwood,10.0,Scott Pendlebury,Collingwood,S_Pendlebury,2012-03-30,5345
2012,1,Hawthorn,Collingwood,8.0,Sam Mitchell,Hawthorn,S_Mitchell,2012-03-30,5345
2012,1,Hawthorn,Collingwood,5.0,Lance Franklin,Hawthorn,L_Franklin,2012-03-30,5345
2012,1,Hawthorn,Collingwood,3.0,Cyril Rioli,Hawthorn,C_Rioli,2012-03-30,5345
2012,1,Hawthorn,Collingwood,3.0,Grant Birchall,Hawthorn,G_Birchall,2012-03-30,5345
2012,1,Hawthorn,Collingwood,1.0,Jarryd Blair,Collingwood,J_Blair,2012-03-30,5345
2012,1,Melbourne,Brisbane,10.0,Simon Black,Brisbane,S_Black,2012-03-31,5346
2012,1,Melbourne,Brisbane,7.0,Tom Rockliff,Brisbane,T_Rockliff,2012-03-31,5346
2012,1,Melbourne,Brisbane,6.0,Jed Adcock,Brisbane,J_Adcock,2012-03-31,5346
2012,1,Melbourne,Brisbane,3.0,Joel Patfull,Brisbane,J_Patfull,2012-03-31,5346
2012,1,Melbourne,Brisbane,2.0,Daniel Rich,Brisbane,D_Rich,2012-03-31,5346
2012,1,Melbourne,Brisbane,1.0,Pearce Hanley,Brisbane,P_Hanley,2012-03-31,5346
2012,1,Melbourne,Brisbane,1.0,James Magner,Melbourne,J_Magner,2012-03-31,5346
2012,1,Gold Coast,Adelaide,10.0,Scott Thompson,Adelaide,S_Thompson,2012-03-31,5347
2012,1,Gold Coast,Adelaide,8.0,Gary Ablett,Gold Coast,G_Ablett,2012-03-31,5347
2012,1,Gold Coast,Adelaide,4.0,Sam Jacobs,Adelaide,S_Jacobs,2012-03-31,5347
2012,1,Gold Coast,Adelaide,4.0,Kurt Tippett,Adelaide,K_Tippett,2012-03-31,5347
2012,1,Gold Coast,Adelaide,3.0,Rory Sloane,Adelaide,R_Sloane,2012-03-31,5347
2012,1,Gold Coast,Adelaide,1.0,Taylor Walker,Adelaide,T_Walker,2012-03-31,5347
2012,1,Fremantle,Geelong,10.0,Nathan Fyfe,Fremantle,N_Fyfe,2012-03-31,5348
2012,1,Fremantle,Geelong,8.0,Joel Selwood,Geelong,J_Selwood,2012-03-31,5348
2012,1,Fremantle,Geelong,6.0,Aaron Sandilands,Fremantle,A_Sandilands,2012-03-31,5348
2012,1,Fremantle,Geelong,2.0,Tom Hawkins,Geelong,T_Hawkins,2012-03-31,5348
2012,1,Fremantle,Geelong,2.0,Michael Johnson,Fremantle,M_Johnson,2012-03-31,5348
2012,1,Fremantle,Geelong,1.0,Hayden Ballantyne,Fremantle,H_Ballantyne,2012-03-31,5348
2012,1,Fremantle,Geelong,1.0,James Kelly,Geelong,J_Kelly,2012-03-31,5348
2012,1,North Melbourne,Essendon,10.0,Brent Stanton,Essendon,B_Stanton,2012-03-31,5349
2012,1,North Melbourne,Essendon,7.0,Paddy Ryder,Essendon,P_Ryder,2012-03-31,5349
2012,1,North Melbourne,Essendon,6.0,Daniel Wells,North Melbourne,D_Wells,2012-03-31,5349
2012,1,North Melbourne,Essendon,3.0,Jobe Watson,Essendon,J_Watson,2012-03-31,5349
