ProviderId,status,CurrentRoundNumber,Round,RoundNumber,HomeTeam,HomeGoals,HomeBehinds,HomeScore,AwayTeam,AwayGoals,AwayBehinds,AwayScore,Venue,Location,State,Season,Date,Opposition,Match_id,RoundStatus
CD_M20240140001,CONCLUDED,28,Round 0,0,Sydney,12.0,14.0,86.0,Melbourne,9.0,10.0,64.0,SCG,Sydney,NSW,2024,2024-03-07,Melbourne,11174.0,Past Round
CD_M20240140002,CONCLUDED,28,Round 0,0,Brisbane,12.0,13.0,85.0,Carlton,13.0,8.0,86.0,Gabba,Brisbane,QLD,2024,2024-03-08,Carlton,11175.0,Past Round
CD_M20240140003,CONCLUDED,28,Round 0,0,Gold Coast,14.0,15.0,99.0,Richmond,9.0,6.0,60.0,People First Stadium,Gold Coast,QLD,2024,2024-03-09,Richmond,11176.0,Past Round
CD_M20240140004,CONCLUDED,28,Round 0,0,GWS,18.0,6.0,114.0,Collingwood,11.0,16.0,82.0,ENGIE Stadium,Sydney,NSW,2024,2024-03-09,Collingwood,11177.0,Past Round
CD_M20250140002,CONCLUDED,28,Round 0,0,Sydney,11.0,10.0,76.0,Hawthorn,14.0,12.0,96.0,SCG,Sydney,NSW,2025,2025-03-07,Hawthorn,11188.0,Past Round
CD_M20250140004,CONCLUDED,28,Round 0,0,GWS,15.0,14.0,104.0,Collingwood,6.0,16.0,52.0,ENGIE Stadium,Sydney,NSW,2025,2025-03-09,Collingwood,11190.0,Past Round
CD_M20260140001,CONCLUDED,19,Round 0,0,Sydney,20.0,12.0,132.0,Carlton,10.0,9.0,69.0,SCG,Sydney,NSW,2026,2026-03-05,Carlton,11405.0,Past Round
CD_M20260140002,CONCLUDED,19,Round 0,0,Gold Coast,19.0,11.0,125.0,Geelong,10.0,9.0,69.0,People First Stadium,Gold Coast,QLD,2026,2026-03-06,Geelong,11406.0,Past Round
CD_M20260140003,CONCLUDED,19,Round 0,0,GWS,19.0,8.0,122.0,Hawthorn,14.0,11.0,95.0,ENGIE Stadium,Sydney,NSW,2026,2026-03-07,Hawthorn,11407.0,Past Round
CD_M20260140004,CONCLUDED,19,Round 0,0,Brisbane,15.0,16.0,106.0,Western Bulldogs,16.0,15.0,111.0,Gabba,Brisbane,QLD,2026,2026-03-07,Western Bulldogs,11408.0,Past Round
CD_M20260140005,CONCLUDED,19,Round 0,0,St Kilda,9.0,12.0,66.0,Collingwood,11.0,12.0,78.0,MCG,Melbourne,VIC,2026,2026-03-08,Collingwood,11409.0,Past Round
CD_M20120140101,CONCLUDED,27,Round 1,1,GWS,5.0,7.0,37.0,Sydney,14.0,16.0,100.0,ENGIE Stadium,Sydney,NSW,2012,2012-03-24,Sydney,5343.0,Past Round
CD_M20120140102,CONCLUDED,27,Round 1,1,Richmond,12.0,9.0,81.0,Carlton,18.0,17.0,125.0,MCG,Melbourne,VIC,2012,2012-03-29,Carlton,5344.0,Past Round
CD_M20120140103,CONCLUDED,27,Round 1,1,Hawthorn,20.0,17.0,137.0,Collingwood,16.0,19.0,115.0,MCG,Melbourne,VIC,2012,2012-03-30,Collingwood,5345.0,Past Round
CD_M20120140104,CONCLUDED,27,Round 1,1,Melbourne,11.0,12.0,78.0,Brisbane,17.0,17.0,119.0,MCG,Melbourne,VIC,2012,2012-03-31,Brisbane,5346.0,Past Round
CD_M20120140105,CONCLUDED,27,Round 1,1,Gold Coast,10.0,8.0,68.0,Adelaide,19.0,23.0,137.0,People First Stadium,Gold Coast,QLD,2012,2012-03-31,Adelaide,5347.0,Past Round
CD_M20120140106,CONCLUDED,27,Round 1,1,Fremantle,16.0,9.0,105.0,Geelong,15.0,11.0,101.0,Domain Stadium,Perth,WA,2012,2012-03-31,Geelong,5348.0,Past Round
CD_M20120140107,CONCLUDED,27,Round 1,1,North Melbourne,15.0,12.0,102.0,Essendon,14.0,20.0,104.0,Marvel Stadium,Melbourne,VIC,2012,2012-03-31,Essendon,5349.0,Past Round
CD_M20120140108,CONCLUDED,27,Round 1,1,Western Bulldogs,12.0,15.0,87.0,West Coast,21.0,10.0,136.0,Marvel Stadium,Melbourne,VIC,2012,2012-04-01,West Coast,5350.0,Past Round
CD_M20120140109,CONCLUDED,27,Round 1,1,Port Adelaide,13.0,11.0,89.0,St Kilda,13.0,7.0,85.0,AAMI Stadium,Adelaide,SA,2012,2012-04-01,St Kilda,5351.0,Past Round
CD_M20130140101,CONCLUDED,27,Round 1,1,Adelaide,11.0,16.0,82.0,Essendon,18.0,9.0,117.0,AAMI Stadium,Adelaide,SA,2013,2013-03-22,Essendon,5550.0,Past Round
CD_M20130140102,CONCLUDED,27,Round 1,1,Fremantle,16.0,12.0,108.0,West Coast,11.0,14.0,80.0,Domain Stadium,Perth,WA,2013,2013-03-23,West Coast,5551.0,Past Round
