Match_id,ProviderId,Season,Round,RoundNumber,Date,HomeTeam,AwayTeam,Venue,RoundStatus
11174.0,CD_M20240140001,2024,Round 0,0,2024-03-07,Sydney,Melbourne,SCG,Past Round
11175.0,CD_M20240140002,2024,Round 0,0,2024-03-08,Brisbane,Carlton,Gabba,Past Round
11176.0,CD_M20240140003,2024,Round 0,0,2024-03-09,Gold Coast,Richmond,People First Stadium,Past Round
11177.0,CD_M20240140004,2024,Round 0,0,2024-03-09,GWS,Collingwood,ENGIE Stadium,Past Round
11188.0,CD_M20250140002,2025,Round 0,0,2025-03-07,Sydney,Hawthorn,SCG,Past Round
11190.0,CD_M20250140004,2025,Round 0,0,2025-03-09,GWS,Collingwood,ENGIE Stadium,Past Round
11405.0,CD_M20260140001,2026,Round 0,0,2026-03-05,Sydney,Carlton,SCG,Past Round
11406.0,CD_M20260140002,2026,Round 0,0,2026-03-06,Gold Coast,Geelong,People First Stadium,Past Round
11407.0,CD_M20260140003,2026,Round 0,0,2026-03-07,GWS,Hawthorn,ENGIE Stadium,Past Round
11408.0,CD_M20260140004,2026,Round 0,0,2026-03-07,Brisbane,Western Bulldogs,Gabba,Past Round
11409.0,CD_M20260140005,2026,Round 0,0,2026-03-08,St Kilda,Collingwood,MCG,Past Round
5343.0,CD_M20120140101,2012,Round 1,1,2012-03-24,GWS,Sydney,ENGIE Stadium,Past Round
5344.0,CD_M20120140102,2012,Round 1,1,2012-03-29,Richmond,Carlton,MCG,Past Round
5345.0,CD_M20120140103,2012,Round 1,1,2012-03-30,Hawthorn,Collingwood,MCG,Past Round
5346.0,CD_M20120140104,2012,Round 1,1,2012-03-31,Melbourne,Brisbane,MCG,Past Round
5347.0,CD_M20120140105,2012,Round 1,1,2012-03-31,Gold Coast,Adelaide,People First Stadium,Past Round
5348.0,CD_M20120140106,2012,Round 1,1,2012-03-31,Fremantle,Geelong,Domain Stadium,Past Round
5349.0,CD_M20120140107,2012,Round 1,1,2012-03-31,North Melbourne,Essendon,Marvel Stadium,Past Round
5350.0,CD_M20120140108,2012,Round 1,1,2012-04-01,Western Bulldogs,West Coast,Marvel Stadium,Past Round
5351.0,CD_M20120140109,2012,Round 1,1,2012-04-01,Port Adelaide,St Kilda,AAMI Stadium,Past Round
5550.0,CD_M20130140101,2013,Round 1,1,2013-03-22,Adelaide,Essendon,AAMI Stadium,Past Round
5551.0,CD_M20130140102,2013,Round 1,1,2013-03-23,Fremantle,West Coast,Domain Stadium,Past Round
5552.0,CD_M20130140103,2013,Round 1,1,2013-03-28,Carlton,Richmond,MCG,Past Round
5553.0,CD_M20130140104,2013,Round 1,1,2013-03-30,Western Bulldogs,Brisbane,Marvel Stadium,Past Round
5554.0,CD_M20130140105,2013,Round 1,1,2013-03-30,GWS,Sydney,ENGIE Stadium,Past Round
5555.0,CD_M20130140106,2013,Round 1,1,2013-03-30,Gold Coast,St Kilda,People First Stadium,Past Round
5556.0,CD_M20130140107,2013,Round 1,1,2013-03-31,Melbourne,Port Adelaide,MCG,Past Round
5557.0,CD_M20130140108,2013,Round 1,1,2013-03-31,North Melbourne,Collingwood,Marvel Stadium,Past Round
